Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,356.496214115892
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.417
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.13320340824963
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.35609779179185
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,21.50844383
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,7242.45513146613
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.844
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.04147163139545
Albania,ALB,Population growth (annual %),SP.POP.GROW,-1.54312080996395
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,97.665033031442
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.35750389
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4160.55926736925
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.208
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.22606307415477
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.61936460233826
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.02188873
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,15236.1604875571
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.708
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-1.0829920166826
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42425.7066454357
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.331
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.26362889534188
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.0404205322266
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.64671707
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2303.90812662776
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.958
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,25.7542948841891
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.18132259995095
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,53.1351542727131
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.73987103
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17348.6006987182
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.197
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.06299638545334
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.546161676855974
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.81315422
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10738.0179223384
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.948
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,48.4093786255199
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.265879395046274
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,115.735778808594
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.00910187
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4685.17997128509
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.2780487804878
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.18483629443371
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.0270096898904032
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.4853735120921
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.32268524
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,26749.3296093118
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.655
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Aruba,ABW,Population growth (annual %),SP.POP.GROW,-0.82021108315363
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,123.625907897949
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,60758.9044397144
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.3
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.86391042204994
Australia,AUS,Population growth (annual %),SP.POP.GROW,0.14089508329287
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,135.526565551758
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.51612186
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,53648.6437976214
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.190243902439
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.7666666666667
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.435671684056384
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.307662963867
